date,spy,vix,sp20vol
2007-08-10,144.71,28.3,0.229013369
2007-08-13,145.23,26.57,0.229173486
2007-08-14,143.01,27.68,0.234914356
2007-08-15,141.04,30.67,0.237358044
2007-08-16,142.1,30.83,0.236777872
2007-08-17,144.71,29.99,0.256411593
2007-08-20,144.64,26.33,0.255009895
2007-08-21,144.93,25.25,0.247517986
2007-08-22,146.65,22.89,0.251286683
2007-08-23,146.52,22.62,0.237919554
2007-08-24,148.33,20.72,0.234302511
2007-08-27,146.95,22.72,0.233723064
2007-08-28,143.72,26.3,0.244326435
2007-08-29,146.54,23.81,0.255920795
2007-08-30,146.15,25.06,0.255810661
2007-08-31,147.59,23.38,0.239080954
2007-09-04,149.08,22.78,0.226502741
2007-09-05,147.79,24.58,0.229647641
2007-09-06,148.13,23.99,0.224219692
2007-09-07,146.07,26.23,0.206111506
2007-09-10,145.79,27.38,0.206164816
2007-09-11,147.49,25.27,0.211726608
2007-09-12,147.87,24.96,0.199721195
2007-09-13,148.91,24.76,0.192269024
2007-09-14,148.9,24.92,0.192467443
2007-09-17,148.1,26.48,0.175628105
2007-09-18,152.46,20.35,0.201780319
2007-09-19,153.36,20.03,0.202068606
2007-09-20,152.28,20.45,0.201920644
2007-09-21,151.97,19,0.201814125
2007-09-24,151.69,19.37,0.200304007
2007-09-25,151.39,18.6,0.197044219
2007-09-26,152.19,17.63,0.173210784
2007-09-27,153.09,17,0.158583027
2007-09-28,152.58,18,0.158007007
2007-10-01,154.3,17.84,0.159709305
2007-10-02,154.09,18.49,0.157102509
2007-10-03,153.78,18.8,0.151040834
2007-10-04,154.02,18.44,0.150861207
2007-10-05,155.85,16.91,0.134867188
2007-10-08,155.02,17.46,0.135950944
2007-10-09,156.48,16.12,0.13178043
2007-10-10,156.22,16.67,0.132471344
2007-10-11,155.47,18.88,0.133910578
2007-10-12,156.33,17.73,0.133914575
2007-10-15,155.01,19.25,0.136870296
2007-10-16,153.78,20.02,0.097157666
2007-10-17,154.25,18.54,0.095128482
2007-10-18,153.69,18.5,0.091477258
2007-10-19,149.67,22.96,0.129441525
2007-10-22,150.54,21.64,0.12929532
2007-10-23,151.76,20.41,0.133310765
2007-10-24,151.48,20.8,0.132079138
2007-10-25,151.84,21.17,0.131159898
2007-10-26,153.62,19.56,0.140176894
2007-10-29,154.13,19.87,0.132322738
2007-10-30,153.06,21.07,0.134201977
2007-10-31,154.65,18.53,0.140245314
2007-11-01,151.03,23.21,0.169110052
2007-11-02,151.2,23.01,0.164604024
2007-11-05,150.05,24.31,0.164958258
2007-11-06,152.07,21.39,0.168595834
2007-11-07,147.91,26.49,0.195683835
2007-11-08,147.16,26.16,0.195621923
2007-11-09,145.14,28.5,0.197851668
2007-11-12,143.7,31.09,0.198458166
2007-11-13,148.08,24.1,0.229319443
2007-11-14,147.67,25.94,0.229641369
2007-11-15,145.54,28.06,0.232805387
2007-11-16,145.79,25.49,0.218113205
2007-11-19,143.76,26.01,0.224452018
2007-11-20,144.64,24.88,0.222108357
2007-11-21,141.68,26.84,0.227080516
2007-11-23,144.13,25.96,0.238072475
2007-11-26,140.95,28.91,0.240974549
2007-11-27,142.57,26.28,0.249036805
2007-11-28,147.13,24.11,0.273649727
2007-11-29,147.18,23.97,0.268894554
2007-11-30,148.66,22.87,0.255609891
2007-12-03,147.68,23.61,0.256159661
2007-12-04,146.36,23.79,0.256535661
2007-12-05,148.81,22.53,0.258918953
2007-12-06,150.94,20.96,0.241913848
2007-12-07,150.91,20.85,0.242066729
2007-12-10,152.08,20.74,0.235961927
2007-12-11,147.91,23.59,0.25211802
2007-12-12,149.37,22.47,0.230977898
2007-12-13,149.06,22.56,0.229344724
2007-12-14,147.17,23.27,0.229781707
2007-12-17,145.07,24.52,0.235627127
2007-12-18,145.88,22.64,0.227680471
2007-12-19,145.88,21.68,0.227387667
2007-12-20,146.8,20.58,0.219234149
2007-12-21,148.13,18.47,0.219031333
2007-12-24,149.23,18.6,0.199269011
2007-12-26,149.55,18.66,0.194446304
2007-12-27,147.67,20.26,0.176807033
2007-12-28,147.3,20.74,0.176857818
2007-12-31,146.21,22.5,0.176343716
2008-01-02,144.93,23.17,0.182397141
2008-01-03,144.86,22.49,0.181141224
2008-01-04,141.31,23.94,0.19025908
2008-01-07,141.19,23.79,0.180203579
2008-01-08,138.91,25.43,0.188080332
2008-01-09,140.37,24.12,0.194146182
2008-01-10,141.29,23.45,0.180220479
2008-01-11,140.15,23.68,0.182185846
2008-01-14,141.28,22.9,0.188198558
2008-01-15,138.17,23.34,0.200881593
2008-01-16,136.98,24.38,0.196117474
2008-01-17,133.43,28.46,0.214443947
2008-01-18,132.06,27.18,0.214245157
2008-01-22,130.72,31.01,0.212443262
2008-01-23,133.86,29.02,0.219547253
2008-01-24,134.99,27.78,0.22123067
2008-01-25,133.04,29.08,0.223367655
2008-01-28,135.24,27.78,0.235581117
2008-01-29,135.91,27.32,0.2376495
2008-01-30,134.91,27.62,0.237430026
2008-01-31,137.37,26.2,0.244743828
2008-02-01,139.58,24.02,0.250074082
2008-02-04,137.82,25.99,0.237693188
2008-02-05,134.13,28.24,0.261122414
2008-02-06,133.05,28.97,0.255336833
2008-02-07,133.93,27.66,0.251396115
2008-02-08,133.07,28.01,0.24837546
2008-02-11,133.75,27.6,0.247097192
2008-02-12,134.99,26.33,0.244901204
2008-02-13,136.37,24.88,0.235752011
